fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Aug,16,KERALA,1608,ERNAKULAM,1686605,339.513519084235,19,83,922.203991133999,8164,0,14972,919188,181792,32544,18356,2871,694.18619,4737.157706934,47221,50028,108176,165433,8,271655,383101,23136,3120.7675258,815463,55,28.75,37.39,99.99,NA
2024-2025,Aug,16,KERALA,1609,IDUKKI,2020837,345.669335318139,22,65,305.152202877,3625,0,13017,1504765,131628,28407,245642,24598,632.54229,6139.205666477,65909,82019,132422,240329,57,213166,365793,16642,5201.5111736,1135241,30,48.58,23.17,99.99,NA
2024-2025,Aug,16,KERALA,1613,KOLLAM,3304748,340.880809452608,22,249,680.550330342,5517,0,23000,2464505,505029,61143,47781,2370,332.37693,9413.951853342,109799,118304,204720,321969,58,399883,582208,28517,8401.024593,2125656,44,48.01,35.58,100,NA
2024-2025,July,16,KERALA,1607,THRISSUR,1344988,333.349083865338,18,176,856.946072212,6842,0,15288,999209,328558,50032,23290,2471,354.02784,4541.827959612,53396,55994,150839,197104,21,350202,426403,22130,3330.8540474,901782,50,37.36,19.5,99.92,NA
2024-2025,July,16,KERALA,1609,IDUKKI,1543185,343.812746873759,19,55,173.224442877,3435,0,12424,1130831,97722,28594,189113,24619,263.04781,4324.213376477,57431,70802,132137,240933,20,217343,374388,15859,3887.9411236,851923,31,47.32,25.51,99.9,NA
2024-2025,July,16,KERALA,1610,KOTTAYAM,1083027,335.842465701225,19,21,526.200981067,4386,0,11285,679689,97225,19919,25090,4552,189.56059,2998.445867767,34359,36369,87754,132545,9,207123,289563,15671,2282.6842967,627318,57,22.86,49.47,99.93,NA
2024-2025,July,16,KERALA,1614,THIRUVANANTHAPURAM,3386483,335.110304537323,16,114,1540.42833976,7704,0,24123,2062670,359335,58587,85053,7929,321.18409,8773.83214836,121972,130021,227835,343488,13,390731,555371,31827,6912.2197186,1817996,56,39.73,44.17,99.93,NA
2024-2025,July,16,KERALA,1605,MALAPPURAM,1504017,345.078298661033,22,180,150.761363896,7150,0,20018,1284647,437423,60608,59728,5519,338.42465,4922.224025296,56203,61569,141742,228839,19,419505,611001,27168,4433.0380114,1090955,67,30.81,27.79,99.93,NA
2024-2025,July,16,KERALA,1609,IDUKKI,1543185,345.442381918468,20,58,173.224442877,3473,0,12502,1198748,102558,28538,201519,24627,263.04781,4577.255897277,58789,72587,132172,240726,34,216470,372482,15975,4140.9836444,903355,31,48.21,24.99,99.92,NA
2024-2025,Aug,16,KERALA,1604,KOZHIKODE,3665143,342.859508531351,18,163,1547.955279001,5334,0,20725,1941955,232107,38307,35421,4045,896.33729,9102.469937901,103869,111123,196306,310339,24,354831,525669,26059,6658.1773689,1771574,40,47.75,30.95,99.99,NA
2024-2025,Aug,16,KERALA,1607,THRISSUR,1761292,343.06616324708,23,184,1066.369652114,7241,0,16584,1392907,447070,50207,30315,2475,780.07342,6625.035674614,60532,63777,152199,198829,53,350118,426444,23825,4778.5926025,1253289,50,46.26,16.99,100.01,NA
2024-2025,Aug,16,KERALA,1613,KOLLAM,3304748,344.351677812164,25,254,680.550330342,5655,0,23788,2854217,584604,61273,54985,2397,887.90126,11396.995718242,112431,121362,205239,322786,108,400204,582728,29443,9828.5441279,2461346,44,49.76,34.87,100,NA
2024-2025,Aug,16,KERALA,1604,KOZHIKODE,3665143,340.464349876439,19,163,1549.031379001,5353,0,20737,1999020,238238,38314,36088,4045,896.33729,9251.319115901,104464,111812,196339,310391,24,354808,525650,26090,6805.9504469,1824164,40,48.42,30.65,99.99,NA
2024-2025,Aug,16,KERALA,1608,ERNAKULAM,1686605,341.330250427053,22,91,922.173991133999,8768,0,15030,1116373,220852,32596,23801,2875,711.38992,5444.082667734,49538,52610,108417,165767,11,271397,382760,23798,3810.5187566,991180,54,30.32,39.01,100,NA
2024-2025,Aug,16,KERALA,1612,PATHANAMTHITTA,1172639,340.006779411204,21,83,491.656674025,2326,0,8977,761249,212348,34906,17150,2139,433.87943,3513.834312225,36153,39417,66793,115774,10,162310,252759,11303,2588.2982082,676762,46,49.86,29.44,99.99,NA
2024-2025,Aug,16,KERALA,1613,KOLLAM,3304748,343.516012302103,25,256,680.550330342,5672,0,23802,2901130,593640,61275,56371,2397,887.90126,11534.297678042,112729,121720,205290,322878,119,400246,582795,29474,9965.8460877,2501551,44,50.01,34.79,100,NA
2024-2025,July,16,KERALA,1603,WAYANAD,1130025,361.885542202493,28,69,13.63038,1954,0,8898,1286097,56630,6843,586068,47415,180.24936,4848.0788417,44989,50655,84586,145581,64,156300,257352,10852,4654.1991017,1114638,43,28.3,17.36,100.02,NA
2024-2025,July,16,KERALA,1607,THRISSUR,1344988,336.281599628297,18,174,856.946072212,6813,0,15251,981428,323147,50025,23290,2470,354.02784,4511.335689812,53038,55601,150758,196991,21,350228,426431,22064,3300.3617776,885562,50,37.09,19.45,100.02,NA
2024-2025,Sep,16,KERALA,1604,KOZHIKODE,4398172,340.76657958218,20,167,2158.250687226,5712,0,20607,2176775,259862,38323,38749,4046,937.34772,10513.320119926,106620,114223,196454,310556,24,354871,525742,26319,7417.7217127,1987033,40,50.36,29.58,99.99,NA
2024-2025,Sep,16,KERALA,1605,MALAPPURAM,2363455,345.33195518723,31,193,847.05406679,8715,0,20697,2042275,709280,60535,89769,5523,834.46122,8734.14347459,64027,70745,143480,229902,139,417020,602285,29412,7052.6281878,1743848,67,39.65,27.27,100.01,NA
